epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,673.094,0.92143,12.2564,0.57561,0.89068,0.02524,9.28523,0.90434,0.8891,0.94599,0.64257,0.73281,0.4575,0.42416,0.1266,0.83191,8.05539,0.19791,0.68271,0.03192,0,0.000499565,0.000499565,0.0755213
2,1279.38,0.90162,9.58114,0.42811,0.78327,0.02489,6.84845,0.89704,0.89295,0.94568,0.62465,0.79038,0.50695,0.4965,0.26727,0.87975,6.71625,0.17656,0.67652,0.03266,0,0.000999321,0.000999321,0.0510211
3,1874.17,0.87879,8.50399,0.38153,0.73777,0.02426,5.98359,0.90966,0.902,0.96063,0.68506,0.77762,0.59551,0.60433,0.33837,0.74575,5.48358,0.12238,0.50969,0.02768,0,0.0014981,0.0014981,0.0265198
4,2507.4,0.87071,7.93044,0.35188,0.72153,0.02412,5.56435,0.92668,0.91844,0.96315,0.69094,0.77781,0.59284,0.59078,0.3603,0.75827,5.4813,0.1305,0.46211,0.02838,0,0.00199517,0.00199517,0.00201691
5,3129.18,0.84408,7.54053,0.33228,0.68994,0.02327,5.21261,0.93857,0.93411,0.97607,0.72822,0.78396,0.64088,0.64007,0.42735,0.68154,4.83288,0.1152,0.39363,0.02464,0,0.00199219,0.00199219,0.00199219
6,3739.1,0.80503,7.07577,0.31425,0.66764,0.02207,4.81616,0.94634,0.94546,0.97956,0.72635,0.78109,0.67024,0.65623,0.43447,0.68393,4.57308,0.11131,0.40442,0.02543,0,0.00198781,0.00198781,0.00198781
7,4337.38,0.79379,6.76333,0.30003,0.65242,0.02177,4.52197,0.94603,0.94558,0.97866,0.72775,0.82464,0.66981,0.67939,0.46698,0.67365,4.33307,0.10067,0.39216,0.02384,0,0.00198246,0.00198246,0.00198246
8,4964.04,0.77245,6.53047,0.29262,0.63306,0.02092,4.25227,0.94634,0.93756,0.97978,0.71134,0.82636,0.69076,0.71195,0.50828,0.72072,4.08513,0.10175,0.42191,0.02717,0,0.00197616,0.00197616,0.00197616
9,5579.27,0.7635,6.27641,0.28565,0.6019,0.02067,4.02031,0.94444,0.9466,0.9816,0.76421,0.8297,0.69925,0.71371,0.50288,0.5997,3.98268,0.10088,0.37864,0.02124,0,0.0019689,0.0019689,0.0019689
10,6174.14,0.74124,6.06753,0.27783,0.58147,0.01977,3.7463,0.95121,0.9466,0.98124,0.75527,0.86165,0.70766,0.74698,0.53886,0.62356,3.81541,0.07971,0.362,0.02307,0,0.00196069,0.00196069,0.00196069
11,6818.86,0.74015,6.02857,0.27522,0.59618,0.01993,3.73278,0.95332,0.94635,0.98178,0.75476,0.77369,0.69517,0.65498,0.46345,0.61848,4.2421,0.08455,0.36826,0.023,0,0.00195155,0.00195155,0.00195155
12,7424.22,0.71667,5.75621,0.26708,0.56808,0.01914,3.52948,0.95101,0.94747,0.98245,0.76841,0.78957,0.72142,0.67791,0.48176,0.59905,4.00173,0.089,0.35643,0.02178,0,0.00194147,0.00194147,0.00194147
13,8035.57,0.71758,5.66469,0.26263,0.56123,0.01919,3.39759,0.95259,0.95756,0.98444,0.78743,0.84459,0.7708,0.77954,0.58323,0.55416,3.40637,0.07961,0.32735,0.0194,0,0.00193048,0.00193048,0.00193048
14,8648,0.70861,5.54625,0.25609,0.55463,0.01893,3.29372,0.94948,0.96286,0.98472,0.78554,0.83888,0.75927,0.76623,0.58369,0.55239,3.44064,0.0736,0.32249,0.01945,0,0.00191858,0.00191858,0.00191858
15,9253.95,0.7049,5.50296,0.25355,0.54698,0.01879,3.20697,0.95629,0.95906,0.98563,0.78812,0.83568,0.76089,0.76486,0.58221,0.55576,3.43643,0.08053,0.33403,0.0194,0,0.00190578,0.00190578,0.00190578
16,454.142,0.69136,5.29897,0.2505,0.53448,0.01833,2.96395,0.95798,0.95581,0.98416,0.79321,0.83833,0.77201,0.76839,0.58292,0.53474,3.32105,0.06911,0.32484,0.01853,0,0.0018921,0.0018921,0.0018921
17,908.246,0.6895,5.24612,0.24775,0.51754,0.01826,2.91518,0.95782,0.96375,0.9854,0.80493,0.83833,0.78119,0.78311,0.61414,0.51828,3.25814,0.07175,0.30309,0.01785,0,0.00187754,0.00187754,0.00187754
18,1362.32,0.68002,5.22449,0.24439,0.52865,0.018,2.88465,0.95972,0.95973,0.98612,0.81109,0.85364,0.78714,0.79372,0.62718,0.50607,3.10035,0.06301,0.30523,0.01735,0,0.00186213,0.00186213,0.00186213
19,1816.37,0.67436,5.05492,0.23998,0.51774,0.01785,2.73921,0.96315,0.95476,0.98616,0.8092,0.83434,0.77673,0.75907,0.60238,0.50753,3.26993,0.06052,0.30099,0.01736,0,0.00184588,0.00184588,0.00184588
20,2271.4,0.67051,5.04284,0.23904,0.51299,0.01763,2.7221,0.95727,0.95935,0.98652,0.81178,0.82949,0.78235,0.76654,0.60377,0.50305,3.20588,0.06581,0.30951,0.01703,0,0.00182881,0.00182881,0.00182881
21,2726,0.66258,4.94229,0.23516,0.51173,0.01754,2.63583,0.95952,0.96061,0.98656,0.81843,0.85004,0.80655,0.80308,0.63817,0.49242,2.97386,0.06404,0.30149,0.01678,0,0.00181093,0.00181093,0.00181093
22,3180.3,0.65768,4.84363,0.23219,0.50595,0.01741,2.48648,0.96328,0.96075,0.98701,0.82457,0.8252,0.78989,0.76705,0.61419,0.48182,3.13455,0.06176,0.28276,0.01633,0,0.00179225,0.00179225,0.00179225
23,3633.44,0.64759,4.78998,0.22875,0.4984,0.017,2.41373,0.96202,0.96202,0.98727,0.82005,0.84202,0.79673,0.78668,0.63618,0.48612,2.9915,0.06417,0.29687,0.01653,0,0.00177281,0.00177281,0.00177281
24,4087.22,0.64596,4.71796,0.2286,0.4842,0.01704,2.37825,0.95913,0.96004,0.98663,0.82582,0.8395,0.80453,0.7913,0.63552,0.47468,2.97664,0.0616,0.29918,0.0161,0,0.00175261,0.00175261,0.00175261
25,4541.16,0.63698,4.65104,0.2246,0.47892,0.01655,2.24564,0.96046,0.96546,0.98704,0.82862,0.8545,0.80897,0.80891,0.6507,0.47033,2.84872,0.05956,0.29043,0.0159,0,0.00173168,0.00173168,0.00173168
26,4995.94,0.63555,4.60287,0.22271,0.48922,0.01664,2.22966,0.96561,0.96268,0.98791,0.83042,0.85203,0.80884,0.8009,0.6498,0.46476,2.84985,0.06112,0.28761,0.01576,0,0.00171004,0.00171004,0.00171004
27,5449.43,0.62722,4.47179,0.22029,0.47621,0.01641,2.13657,0.96134,0.96738,0.9876,0.83105,0.85081,0.81471,0.81176,0.65995,0.46464,2.81587,0.05793,0.27955,0.0156,0,0.0016877,0.0016877,0.0016877
28,5903.83,0.62095,4.42268,0.21639,0.47116,0.01615,2.0709,0.96534,0.97018,0.98787,0.83518,0.85766,0.82395,0.81888,0.66145,0.45772,2.77665,0.05736,0.27156,0.01536,0,0.0016647,0.0016647,0.0016647
29,6361,0.62346,4.44363,0.2172,0.4686,0.01627,2.07137,0.96338,0.96954,0.98783,0.83417,0.85207,0.82885,0.82204,0.66751,0.46006,2.72961,0.05608,0.27322,0.01541,0,0.00164105,0.00164105,0.00164105
30,6817.9,0.62025,4.36888,0.21421,0.46492,0.0162,2.0171,0.9651,0.9698,0.98794,0.8381,0.85352,0.83167,0.82504,0.67514,0.45436,2.70452,0.05415,0.26841,0.01524,0,0.00161678,0.00161678,0.00161678
31,7275.59,0.61768,4.34694,0.21421,0.45697,0.01618,1.97744,0.96809,0.96967,0.98881,0.8395,0.86403,0.82115,0.82426,0.67506,0.45051,2.69067,0.05335,0.27109,0.01505,0,0.00159191,0.00159191,0.00159191
32,7729.32,0.60446,4.21175,0.20853,0.45012,0.01567,1.78456,0.96658,0.97222,0.98831,0.84009,0.86935,0.83442,0.83433,0.67796,0.4486,2.61698,0.0517,0.2641,0.01497,0,0.00156646,0.00156646,0.00156646
33,8183.67,0.60194,4.19203,0.20843,0.44503,0.01569,1.80959,0.96683,0.97196,0.98888,0.84151,0.86569,0.8342,0.82873,0.68149,0.44826,2.61532,0.05151,0.25983,0.01498,0,0.00154047,0.00154047,0.00154047
34,8637.94,0.60084,4.14813,0.20707,0.4406,0.01563,1.74162,0.96761,0.97094,0.98869,0.84314,0.86768,0.83984,0.83897,0.68702,0.44308,2.56676,0.05039,0.26126,0.01474,0,0.00151395,0.00151395,0.00151395
